Data,Produto,Quantidade,Valor_Unitario
2022-05-16,Chinelo,2.0,363.0
2022-05-15,Botas,10.0,80.0
2022-02-24,Brinco,31.0,328.0
2022-04-22,Lenço,91.0,154.0
2022-03-24,Saia de Couro,80.0,63.0
2022-01-03,Cueca,47.0,
2022-08-07,Blusa de Tule,,383.0
2022-06-11,Calça Social,82.0,315.0
2022-06-03,Blusa Manga Longa,94.0,382.0
2022-06-06,Cueca,21.0,350.0
2022-11-23,Sapato de Salto,,171.0
2022-01-26,Short Saia,68.0,153.0
2022-09-20,Top,,171.0
2022-02-04,Shorts,,304.0
2022-12-03,Body,,
2022-04-23,Camisa Polo,75.0,79.0
2022-07-26,Macacão Longo,22.0,435.0
2022-12-19,Macacão Curto,,368.0
2022-03-02,Vestido com Fenda,38.0,
2022-07-18,Jaqueta,80.0,
2022-12-16,Blusa Manga Longa,9.0,151.0
2022-08-04,Camisa,,473.0
2022-11-18,Vestido Midi,,209.0
2022-06-28,Macacão Curto,6.0,93.0
2022-12-24,Vestido Godê,48.0,431.0
2022-12-10,Vestido Longo,63.0,
2022-05-10,Sapatênis,34.0,78.0
2022-01-16,Terno,50.0,298.0
2022-09-18,Shorts,65.0,
2022-10-31,Calça,88.0,214.0
2022-03-29,Sapato,39.0,72.0
2022-10-14,Macacão Curto,,72.0
2022-11-09,Calça,59.0,111.0
2022-11-25,Sapato,,56.0
2022-07-23,Camiseta Manga Longa,81.0,368.0
2022-09-25,Macacão,,214.0
2022-06-14,Sutiã,48.0,187.0
2022-03-14,Blusa Cropped,44.0,327.0
2023-01-01,Camisa Polo,55.0,347.0
2022-03-03,Calça Social,,384.0
2022-04-04,Camiseta Manga Longa,67.0,141.0
2022-08-23,Blazer,,404.0
2022-08-10,Shorts,24.0,64.0
2022-11-17,Gravata,,446.0
2022-06-24,Saia Plissada,,118.0
2022-07-19,Jaqueta de Couro,42.0,435.0
2022-01-21,Blusa de Crochê,,309.0
2022-12-15,Body,,52.0
2022-07-20,Camisa Social,40.0,
2022-06-04,Short Saia,98.0,
2022-12-30,Jaqueta Jeans,87.0,433.0
2022-11-24,Calça Social,62.0,
2022-01-21,Gravata,11.0,
2022-05-08,Óculos,77.0,485.0
2022-04-13,Regata Cavada,53.0,481.0
2022-12-22,Vestido Chemise,53.0,188.0
2022-10-18,Camisa Social,2.0,427.0
2022-11-27,Blusa,49.0,138.0
2022-04-27,Calça Social,24.0,485.0
2022-11-29,Calça Legging,6.0,271.0
2022-07-21,Regata Cavada,37.0,192.0
2022-05-24,Sandália de Salto,54.0,
2022-10-01,Suéter,,288.0
2022-11-13,Cardigan,,
2022-06-21,Camisa Manga Curta,10.0,
2022-09-22,Colete,92.0,326.0
2022-02-24,Vestido Ciganinha,32.0,355.0
2022-08-08,Blusa Manga Longa,,199.0
2022-09-14,Calça Social,69.0,346.0
2022-01-28,Camisa Manga Curta,,251.0
2022-03-11,Sandalia,29.0,
2022-08-24,Terno,29.0,
2022-01-22,Blusa,,209.0
2022-08-06,Brinco,46.0,333.0
2022-02-28,Camiseta Manga Longa,,
2022-08-29,Regata Cavada,67.0,444.0
2022-11-23,Pulseira,,71.0
2022-07-04,Vestido Tomara que Caia,46.0,467.0
2022-06-01,Blusa de Renda,32.0,89.0
2022-05-16,Blusa de Alça,16.0,190.0
2022-03-24,Mochila,,438.0
2022-02-06,Óculos,30.0,351.0
2022-06-13,Blusa Ciganinha,87.0,486.0
2022-11-06,Camiseta Manga Longa,15.0,129.0
2022-04-12,Vestido Tomara que Caia,31.0,443.0
2022-01-13,Botas,,116.0
2022-07-20,Calça Legging,61.0,102.0
2022-09-10,Blusa Manga Longa,78.0,178.0
2022-05-28,Saia Midi,,
2022-06-18,Jaqueta de Couro,57.0,407.0
2022-04-07,Blusa Ciganinha,63.0,235.0
2022-04-26,Pulseira,,
2022-05-05,Short Saia,,469.0
2022-10-02,Calça Jeans,,247.0
2022-10-06,Camisa Xadrez,33.0,139.0
2022-11-28,Jaqueta Jeans,,190.0
2022-11-30,Chinelo,22.0,
2022-01-05,Sapato Social,74.0,181.0
2022-10-22,Blazer,,333.0
2022-07-24,Bermuda,2.0,97.0
2022-03-23,Shorts,29.0,264.0
2022-03-28,Vestido Curto,,78.0
2022-11-01,Macacão Longo,4.0,492.0
2022-10-12,Vestido de Festa,,
2022-02-15,Vestido Midi,47.0,494.0
2022-04-16,Blusa de Tule,66.0,51.0
2022-02-18,Luvas,,405.0
2022-10-25,Camiseta Básica,46.0,108.0
2022-01-16,Bermuda,94.0,
2022-03-11,Anel,79.0,286.0
2022-09-10,Blusa Manga Longa,,167.0
2022-09-27,Blusa de Frio,,
2022-11-26,Camiseta Básica,34.0,228.0
2022-10-01,Blusa de Crochê,9.0,
2022-12-26,Blazer,11.0,393.0
2022-04-12,Cachecol,74.0,272.0
2022-02-09,Regata Cavada,75.0,52.0
2022-10-22,Regata,88.0,228.0
2022-09-26,Boné,18.0,235.0
2022-01-30,Mochila,81.0,
2022-06-14,Sapatilha,98.0,190.0
2022-08-13,Luvas,,131.0
2022-09-17,Blusa,27.0,139.0
2022-07-21,Pulseira,56.0,325.0
2022-06-25,Calça,8.0,150.0
2022-02-04,Body,6.0,
2022-04-16,Vestido Tomara que Caia,78.0,71.0
2022-12-01,Camisa Manga Curta,,427.0
2022-06-26,Vestido Tubinho,,486.0
2022-10-09,Suéter,57.0,174.0
2022-12-02,Chinelo,60.0,100.0
2022-02-23,Blusa de Crochê,50.0,386.0
2022-06-14,Camisa Manga 3/4,,438.0
2022-11-01,Top,7.0,167.0
2022-01-22,Calça Legging,41.0,127.0
2022-05-05,Óculos,,325.0
2022-07-18,Vestido,61.0,
2022-07-05,Tênis,92.0,
2022-12-01,Camisa Manga Curta,,422.0
2022-03-08,Saia,71.0,
2022-08-27,Camiseta Básica,21.0,370.0
2022-09-08,Camisa Polo,,
2022-01-10,Luvas,,204.0
2022-04-30,Vestido,46.0,62.0
2022-08-29,Blusa Manga Longa,,113.0
2022-06-14,Blazer,60.0,373.0
2022-11-07,Camiseta Estampada,71.0,321.0
2022-12-16,Anel,,168.0
2022-06-18,Jaqueta,39.0,
2022-04-29,Jaqueta,96.0,
2022-06-21,Brinco,,412.0
2022-09-27,Boné,20.0,288.0
2022-09-19,Luvas,45.0,340.0
2022-07-08,Camiseta Estampada,,173.0
2022-01-18,Botas,67.0,93.0
2022-03-17,Óculos,,286.0
2022-05-22,Mochila,64.0,
2022-03-02,Colar,,310.0
2022-02-13,Gravata,83.0,50.0
2022-10-17,Blusa de Alça,60.0,88.0
2022-09-07,Calça Jeans,5.0,
2022-04-26,Jaqueta,42.0,371.0
2022-12-12,Camisa,1.0,158.0
2022-12-21,Cueca,18.0,340.0
2022-12-30,Óculos,56.0,54.0
2022-12-01,Cinto,41.0,469.0
2022-07-17,Casaco,44.0,
2022-03-28,Sapatilha,18.0,366.0
2022-10-04,Camisa Manga 3/4,84.0,435.0
2022-01-05,Macacão Longo,11.0,322.0
2022-02-06,Anel,66.0,89.0
2022-04-09,Jaqueta Jeans,75.0,285.0
2022-03-13,Short Saia,,351.0
2022-11-12,Bermuda,,467.0
2022-06-29,Camiseta Estampada,,240.0
2022-07-04,Short Saia,66.0,440.0
2022-07-03,Botas,,
2022-10-30,Casaco,86.0,391.0
2022-02-11,Vestido Ciganinha,35.0,418.0
2022-09-26,Colete,37.0,403.0
2022-08-26,Sapato de Salto,,199.0
2022-02-12,Colete,1.0,387.0
2022-01-01,Meia,,203.0
2022-01-03,Camisa Manga Curta,76.0,271.0
2022-04-20,Blusa de Crochê,23.0,311.0
2022-12-03,Sandalia,10.0,171.0
2022-11-09,Meia,3.0,148.0
2022-06-11,Short Saia,76.0,127.0
2022-08-10,Casaco,24.0,247.0
2022-03-03,Casaco,,360.0
2022-12-03,Blusa Ciganinha,30.0,394.0
2022-04-08,Blusa,79.0,355.0
2022-10-03,Saia de Couro,43.0,180.0
2022-04-23,Macacão Longo,79.0,444.0
2022-07-11,Vestido,38.0,427.0
2022-11-26,Vestido Longuete,3.0,236.0
2022-09-27,Sapato de Salto,52.0,
2022-08-09,Camisa,19.0,
2022-07-27,Gravata,78.0,
2022-02-25,Camiseta Básica,29.0,380.0
2022-12-04,Saia Jeans,12.0,
2022-10-22,Sapatilha,,198.0
2022-09-22,Macacão Curto,92.0,
2022-10-12,Jaqueta,33.0,236.0
2022-06-03,Terno,50.0,169.0
2022-04-14,Regata Cavada,48.0,312.0
2022-10-06,Colete,21.0,
2022-08-30,Anel,18.0,206.0
2022-08-13,Vestido com Fenda,9.0,81.0
2022-01-30,Camisa,32.0,115.0
2022-12-06,Moletom,98.0,71.0
2022-02-04,Sandalia,6.0,253.0
2022-10-08,Calça,,94.0
2022-02-28,Brinco,99.0,288.0
2022-07-19,Macacão,67.0,486.0
2022-06-22,Sandália de Salto,95.0,302.0
2022-11-28,Luvas,72.0,491.0
2022-07-21,Vestido Curto,18.0,151.0
2022-05-08,Saia Midi,15.0,364.0
2022-03-17,Lenço,,139.0
2022-04-19,Suéter,36.0,413.0
2022-04-07,Body,,460.0
2022-07-02,Top,24.0,128.0
2022-11-24,Luvas,79.0,352.0
2022-08-28,Sapato,7.0,
2022-11-04,Blusa de Frio,47.0,383.0
2022-08-14,Chinelo,,60.0
2022-01-21,Blusa Ciganinha,6.0,117.0
2022-03-27,Body,63.0,461.0
2022-01-21,Suéter,98.0,
2022-10-07,Vestido Tomara que Caia,,399.0
2022-12-30,Camiseta Básica,18.0,373.0
2022-07-13,Blusa,,202.0
2022-06-06,Sandália de Salto,75.0,62.0
2022-07-18,Blusa Ciganinha,59.0,170.0
2022-12-20,Blusa,61.0,327.0
2022-07-02,Short Saia,,381.0
2022-05-23,Blusa de Tule,34.0,479.0
2022-10-09,Shorts,,435.0
2022-09-09,Calça Legging,,170.0
2022-05-11,Colar,53.0,
2022-12-30,Blusa de Tricot,32.0,319.0
2022-06-08,Calça Social,50.0,
2022-04-12,Cueca,,326.0
2022-11-21,Cardigan,6.0,146.0
2022-05-15,Sapatilha,15.0,377.0
2022-04-25,Saia Plissada,21.0,452.0
2022-01-18,Luvas,19.0,
2022-11-04,Saia Plissada,,338.0
2022-11-07,Vestido Godê,,446.0
2022-07-15,Vestido Chemise,,263.0
2022-06-16,Meia,46.0,143.0
2022-01-03,Vestido Tomara que Caia,,79.0
2022-11-11,Saia Longa,,
2022-11-03,Vestido Midi,,141.0
2022-04-20,Saia de Couro,21.0,
2022-05-03,Short Saia,23.0,208.0
2022-12-05,Vestido Longuete,73.0,
2022-06-18,Camisa Polo,45.0,
2022-06-22,Cardigan,19.0,212.0
2022-07-09,Camiseta Manga Longa,73.0,
2022-06-03,Vestido Longuete,93.0,450.0
2022-03-04,Camisa Xadrez,,154.0
2022-03-14,Vestido Ciganinha,,481.0
2022-08-20,Vestido,61.0,456.0
2022-04-21,Vestido Ciganinha,37.0,478.0
2022-02-10,Pulseira,93.0,302.0
2022-04-12,Saia Plissada,,69.0
2022-12-24,Cardigan,7.0,397.0
2022-02-21,Blusa de Renda,20.0,339.0
2022-09-24,Óculos,67.0,365.0
2022-02-14,Bolsa,4.0,
2022-02-14,Saia de Couro,45.0,136.0
2022-01-25,Camiseta Manga Longa,60.0,250.0
2022-03-05,Blusa de Alça,57.0,
2022-06-07,Cueca,,500.0
2022-09-12,Moletom,93.0,207.0
2022-05-16,Macacão Longo,79.0,327.0
2022-05-01,Chinelo,95.0,375.0
2022-03-24,Vestido com Fenda,54.0,319.0
2022-04-13,Top,,213.0
2022-07-16,Saia Midi,,
2022-10-02,Camiseta Estampada,,273.0
2022-05-03,Body,26.0,86.0
2022-07-09,Blusa Manga Longa,92.0,384.0
2022-07-14,Blazer,,132.0
2022-05-14,Body,5.0,91.0
2022-04-29,Sutiã,57.0,106.0
2022-01-04,Botas,5.0,172.0
2022-06-02,Sandália de Salto,60.0,418.0
2022-04-23,Cachecol,,294.0
2022-06-03,Calça Social,90.0,360.0
2022-11-07,Camiseta Manga Longa,,89.0
2022-04-14,Short Saia,40.0,347.0
2022-02-19,Vestido Tubinho,78.0,
2022-03-03,Camisa Polo,62.0,280.0
2022-03-14,Blusa Cropped,,132.0
2022-03-11,Cueca,,
2022-04-01,Gravata,27.0,
2022-08-13,Regata Cavada,73.0,372.0
2022-05-20,Regata,,
2022-05-19,Vestido Godê,,113.0
2022-07-23,Jaqueta de Couro,,157.0
2022-12-24,Camisa Xadrez,52.0,162.0
2022-01-19,Meia,29.0,
2022-08-06,Camisa Manga 3/4,2.0,445.0
2022-11-20,Relógio,85.0,65.0
2022-11-23,Casaco,,449.0
2022-11-11,Blazer,84.0,142.0
2022-07-05,Camisa Manga 3/4,62.0,360.0
2022-03-27,Vestido Tomara que Caia,51.0,165.0
2022-06-15,Vestido Chemise,,85.0
2022-06-12,Vestido Transpassado,,117.0
2022-01-03,Blusa Cropped,17.0,366.0
2022-12-28,Top,67.0,454.0
2022-03-23,Colete,44.0,67.0
2022-02-05,Colar,99.0,193.0
2022-01-12,Anel,30.0,80.0
2022-03-01,Lenço,82.0,176.0
2022-03-25,Vestido Chemise,,
2022-08-20,Vestido de Festa,7.0,
2022-11-04,Vestido,,284.0
2022-11-21,Camisa Listrada,,227.0
2022-04-02,Jaqueta de Couro,46.0,435.0
2022-05-07,Lenço,27.0,480.0
2022-03-12,Shorts,68.0,391.0
2022-08-05,Camisa Polo,27.0,304.0
2022-09-18,Camisa Polo,94.0,498.0
2022-10-22,Vestido Rodado,52.0,341.0
2022-06-30,Sapato,39.0,306.0
2022-01-28,Sandalia,65.0,329.0
2022-05-25,Regata,69.0,165.0
2022-08-07,Macacão,,330.0
2022-07-04,Luvas,,308.0
2022-04-20,Macacão,11.0,393.0
2022-03-09,Cinto,94.0,430.0
2022-04-01,Meia,31.0,466.0
2022-01-28,Colete,91.0,189.0
2022-01-24,Suéter,99.0,235.0
2022-12-04,Sandália de Salto,6.0,210.0
2022-11-28,Luvas,,372.0
2022-09-04,Blusa Cropped,4.0,262.0
2022-09-14,Tênis,39.0,309.0
2022-08-24,Camisa Manga 3/4,15.0,91.0
2022-02-12,Blusa Cropped,16.0,416.0
2022-11-01,Vestido Tomara que Caia,45.0,
2022-10-06,Vestido Chemise,75.0,170.0
2022-12-05,Blazer,36.0,170.0
2022-09-27,Vestido Rodado,,380.0
2022-08-27,Vestido Transpassado,51.0,340.0
2022-10-05,Camiseta Básica,27.0,445.0
2022-10-28,Suéter,,396.0
2022-04-13,Sandalia,,249.0
2022-02-17,Camisa Jeans,53.0,328.0
2022-04-05,Vestido Godê,,340.0
2022-05-02,Short Saia,29.0,294.0
2022-08-10,Short Saia,91.0,296.0
2022-03-18,Saia de Couro,33.0,303.0
2022-05-18,Mochila,59.0,214.0
2022-01-13,Regata,84.0,446.0
2022-02-01,Vestido Chemise,,148.0
2022-09-06,Sandália de Salto,,380.0
2022-09-07,Calça,,253.0
2022-12-13,Blusa de Alça,16.0,290.0
2022-04-23,Camisa Listrada,42.0,148.0
2022-11-23,Cueca,99.0,157.0
2022-11-04,Camiseta Manga Longa,18.0,267.0
2022-08-29,Moletom,28.0,202.0
2022-06-08,Saia Jeans,81.0,441.0
2022-01-04,Saia Midi,65.0,
2022-06-04,Chinelo,,189.0
2022-02-03,Jaqueta de Couro,,272.0
2022-09-17,Casaco,56.0,103.0
2022-10-03,Sapatênis,28.0,418.0
2022-12-24,Camisa,77.0,368.0
2022-08-06,Blusa,,
2022-05-26,Camiseta Estampada,,61.0
2022-09-03,Cueca,,333.0
2022-08-20,Moletom,26.0,81.0
2022-08-31,Blusa Cropped,72.0,
2022-07-03,Saia,56.0,53.0
2022-02-13,Vestido com Fenda,,460.0
2022-11-09,Blusa Ciganinha,5.0,167.0
2022-08-16,Sandalia,42.0,352.0
2022-10-10,Blusa de Frio,36.0,
2022-02-07,Vestido de Festa,,98.0
2022-09-01,Vestido de Festa,7.0,135.0
2022-01-09,Vestido Rodado,43.0,
2022-04-05,Vestido Curto,55.0,368.0
2022-10-26,Sandalia,,122.0
2022-09-21,Óculos,,81.0
2022-07-07,Casaco,24.0,
2022-02-28,Sandália Rasteira,22.0,224.0
2022-10-19,Camiseta Manga Longa,,406.0
2022-04-15,Saia,,259.0
2022-06-25,Camisa Manga Curta,70.0,389.0
2022-04-18,Calça Legging,10.0,158.0
2022-11-19,Sapato de Salto,,
2022-02-28,Camisa Social,,103.0
2022-06-28,Cachecol,,87.0
2022-07-17,Vestido Godê,,
2022-08-18,Camisa Manga 3/4,64.0,426.0
2022-10-01,Camisa,24.0,64.0
2022-02-18,Vestido Longo,29.0,398.0
2022-08-26,Camisa Manga Curta,65.0,
2022-06-01,Lenço,82.0,500.0
2022-12-29,Regata Cavada,13.0,95.0
2022-09-28,Saia,22.0,259.0
2022-04-05,Casaco,91.0,134.0
2022-05-15,Vestido Transpassado,43.0,468.0
2022-08-26,Calça,,214.0
2022-10-12,Jaqueta Jeans,64.0,
2022-10-27,Meia,9.0,320.0
2022-09-07,Tênis,,
2022-09-19,Vestido com Fenda,73.0,197.0
2022-10-08,Terno,58.0,148.0
2022-05-04,Camiseta Básica,81.0,242.0
2022-04-14,Vestido Longo,91.0,133.0
2022-01-25,Blusa de Renda,51.0,353.0
2022-07-22,Cachecol,70.0,368.0
2022-07-22,Macacão,47.0,225.0
2022-11-22,Botas,38.0,426.0
2022-03-21,Jaqueta Jeans,57.0,84.0
2022-10-23,Suéter,71.0,313.0
2022-03-02,Vestido de Festa,,342.0
2022-10-10,Camisa Manga 3/4,,
2022-08-06,Camisa Manga 3/4,6.0,451.0
2022-07-18,Vestido Midi,,285.0
2022-08-08,Shorts,71.0,484.0
2022-05-05,Blusa de Tricot,35.0,302.0
2022-06-30,Vestido Curto,32.0,
2022-05-20,Blusa,,
2022-04-02,Blusa de Renda,,413.0
2022-07-11,Camisa Social,2.0,343.0
2022-01-28,Sapatilha,63.0,463.0
2022-11-12,Brinco,22.0,
2022-12-06,Blusa de Crochê,70.0,380.0
2022-11-30,Botas,,220.0
2022-01-31,Sandalia,87.0,384.0
2022-03-28,Anel,,
2022-03-25,Sutiã,26.0,209.0
2022-07-02,Relógio,78.0,85.0
2022-11-17,Saia,96.0,66.0
2022-02-17,Calça Jeans,,356.0
2022-08-03,Anel,28.0,158.0
2022-01-18,Blusa de Renda,,309.0
2022-05-14,Suéter,94.0,78.0
2022-12-23,Sandalia,,105.0
2022-12-13,Camisa Listrada,,
2022-10-28,Luvas,,449.0
2022-11-03,Chinelo,35.0,55.0
2022-09-02,Camiseta Estampada,67.0,427.0
2022-12-22,Vestido com Fenda,54.0,238.0
2022-10-03,Mochila,44.0,394.0
2022-01-22,Sapatilha,50.0,
2022-10-25,Camisa Listrada,,362.0
2022-10-16,Moletom,24.0,338.0
2022-02-17,Calça,,
2022-03-29,Pulseira,23.0,445.0
2022-05-04,Cachecol,45.0,
2022-10-13,Camisa Jeans,,
2022-03-27,Meia,51.0,305.0
2022-01-21,Boné,97.0,421.0
2022-08-05,Vestido de Festa,56.0,308.0
2022-06-29,Saia Longa,23.0,230.0
2022-12-31,Body,7.0,350.0
2022-09-30,Terno,43.0,
2022-02-27,Calça Social,77.0,125.0
2022-03-19,Camisa Jeans,,379.0
2022-06-19,Vestido Godê,,245.0
2022-01-12,Camisa Manga Curta,67.0,360.0
2022-08-02,Bermuda,17.0,87.0
2022-06-19,Saia Plissada,,
2022-08-16,Camisa Manga 3/4,,255.0
2022-10-11,Blusa de Frio,,131.0
2022-10-18,Vestido Tubinho,54.0,260.0
2022-08-19,Saia,32.0,143.0
2022-01-06,Calça Legging,,95.0
2022-05-24,Camiseta Manga Longa,,427.0
2022-02-11,Jaqueta Jeans,90.0,338.0
2022-05-05,Short Saia,20.0,306.0
2022-01-26,Cueca,83.0,472.0
2022-09-05,Sapato de Salto,76.0,367.0
2022-12-28,Macacão,,466.0
2022-03-31,Vestido Midi,34.0,266.0
2022-02-27,Vestido Rodado,84.0,424.0
2022-10-03,Cachecol,21.0,255.0
2022-07-03,Vestido Ciganinha,,459.0
2022-11-30,Óculos,16.0,485.0
2022-11-05,Vestido Midi,,
2022-07-15,Vestido Transpassado,29.0,70.0
2022-12-15,Blusa de Tricot,40.0,488.0
2022-06-04,Blusa de Crochê,66.0,71.0
2022-02-13,Terno,61.0,
2022-04-20,Vestido Ciganinha,52.0,
2022-04-23,Colete,73.0,153.0
2022-01-04,Camisa Polo,17.0,130.0
2022-03-07,Boné,,496.0
2022-12-27,Vestido Longo,30.0,422.0
2022-08-16,Vestido Longo,41.0,363.0
2022-01-01,Sapato,76.0,415.0
2022-04-16,Relógio,9.0,242.0
2022-06-08,Macacão Longo,36.0,
2022-11-28,Blazer,65.0,148.0
2022-04-23,Terno,,
2022-04-13,Sutiã,30.0,78.0
2022-11-05,Macacão Longo,65.0,
2022-04-05,Vestido Curto,95.0,453.0
2022-03-05,Calça Legging,,493.0
2022-11-24,Óculos,,87.0
2022-12-10,Pulseira,5.0,242.0
2022-10-09,Camiseta Manga Longa,81.0,418.0
2022-07-05,Lenço,40.0,52.0
2022-12-24,Vestido Midi,,
2022-11-11,Chinelo,19.0,352.0
2022-06-19,Saia Longa,86.0,498.0
2022-07-03,Blusa de Tule,,409.0
2022-03-22,Cinto,30.0,218.0
2022-05-17,Colete,93.0,116.0
2022-02-20,Sapato de Salto,85.0,165.0
2022-09-29,Blusa Manga Longa,19.0,451.0
2022-03-21,Calça Social,73.0,469.0
2022-08-15,Blusa de Frio,24.0,
2022-05-30,Short Saia,15.0,484.0
2022-04-17,Relógio,,437.0
2022-08-09,Saia,31.0,
2022-02-24,Blusa de Tule,100.0,81.0
2022-11-20,Meia,45.0,185.0
2022-06-30,Camiseta Básica,54.0,270.0
2022-11-17,Blusa,77.0,454.0
2022-06-18,Sapato Social,13.0,306.0
2022-02-11,Regata Cavada,,432.0
2022-10-18,Bolsa,10.0,66.0
2022-07-17,Jaqueta,52.0,126.0
2022-10-13,Sutiã,,362.0
2022-11-04,Vestido Ciganinha,,322.0
2022-07-09,Vestido Curto,22.0,360.0
2022-12-05,Macacão,,261.0
2022-03-29,Camiseta,,150.0
2022-12-21,Short Saia,,373.0
2022-05-23,Vestido Curto,34.0,323.0
2022-07-02,Macacão,55.0,
2022-09-29,Colar,9.0,304.0
2022-01-23,Vestido com Fenda,,249.0
2022-04-25,Body,1.0,336.0
2022-12-13,Bermuda,25.0,89.0
2022-09-25,Colar,10.0,
2022-05-12,Vestido Rodado,,308.0
2022-11-19,Mochila,36.0,
2022-01-27,Vestido Chemise,9.0,171.0
2022-07-27,Cachecol,88.0,224.0
2022-11-14,Sapatênis,93.0,
2022-11-09,Cueca,,367.0
2022-05-04,Camisa Listrada,31.0,
2022-07-17,Camisa Listrada,,420.0
2022-08-16,Mochila,81.0,354.0
2022-03-07,Calça Legging,,296.0
2022-11-11,Blusa Ciganinha,69.0,59.0
2022-03-21,Camisa Jeans,23.0,279.0
2022-01-10,Regata,50.0,
2022-10-02,Bermuda,59.0,357.0
2022-01-07,Meia,4.0,141.0
2022-04-29,Vestido Longuete,9.0,358.0
2022-04-30,Vestido com Fenda,87.0,
2022-09-04,Saia Jeans,10.0,230.0
2022-01-22,Bermuda,5.0,345.0
2022-01-14,Vestido Longuete,,120.0
2022-12-23,Boné,,233.0
2022-03-17,Relógio,93.0,242.0
2022-03-15,Blusa de Alça,60.0,258.0
2022-03-11,Sandália Rasteira,99.0,140.0
2022-06-26,Brinco,59.0,479.0
2022-11-05,Macacão Longo,98.0,333.0
2022-03-02,Bermuda,49.0,263.0
2022-09-25,Tênis,90.0,332.0
2022-12-07,Blusa Manga Longa,,113.0
2022-05-08,Luvas,64.0,178.0
2022-06-29,Camiseta Estampada,24.0,
2022-12-01,Meia,,
2022-05-26,Camiseta,,
2022-03-11,Vestido Curto,44.0,477.0
2022-06-02,Gravata,20.0,202.0
2022-12-29,Vestido Longo,31.0,105.0
2022-06-07,Cachecol,,351.0
2022-11-17,Camisa Social,,129.0
2022-12-23,Cueca,64.0,259.0
2022-12-21,Camiseta,,
2022-03-15,Luvas,,267.0
2022-04-28,Tênis,,418.0
2022-11-27,Camiseta Manga Longa,84.0,97.0
2022-09-21,Saia Plissada,64.0,283.0
2022-05-15,Camisa Manga Curta,,328.0
2022-06-29,Blusa de Tricot,31.0,
2022-11-06,Camisa Listrada,68.0,302.0
2022-05-30,Regata,17.0,294.0
2022-03-30,Saia Longa,,
2022-01-12,Macacão,,325.0
2022-07-06,Sapatênis,17.0,474.0
2022-01-10,Camisa Manga 3/4,27.0,
2022-01-17,Calça Jeans,,409.0
2022-02-09,Blusa Ciganinha,18.0,435.0
2022-02-26,Cinto,72.0,127.0
2022-05-15,Blusa de Tricot,,
2022-04-29,Colar,,491.0
2022-04-27,Camiseta Básica,,254.0
2022-01-11,Camisa Xadrez,33.0,451.0
2022-05-16,Sapato Social,83.0,457.0
2022-08-07,Botas,57.0,320.0
2022-11-09,Macacão Curto,20.0,175.0
2022-08-03,Cueca,24.0,158.0
2022-10-18,Brinco,,347.0
2022-05-05,Brinco,,231.0
2022-12-21,Sapato,,
2022-07-11,Cardigan,89.0,242.0
2022-04-29,Regata Cavada,,
2022-07-24,Camiseta Estampada,,205.0
2022-08-12,Vestido,,207.0
2022-11-18,Vestido Midi,44.0,285.0
2022-11-02,Camisa Jeans,1.0,163.0
2022-08-14,Saia Midi,,223.0
2022-05-25,Terno,89.0,439.0
2022-08-26,Camiseta Básica,,252.0
2022-01-30,Macacão Curto,8.0,
2022-02-09,Luvas,24.0,
2022-10-29,Jaqueta de Couro,,204.0
2022-10-10,Vestido Midi,79.0,454.0
2022-10-25,Sandália Rasteira,53.0,
2022-05-31,Cueca,,275.0
2022-01-14,Camiseta,,53.0
2022-08-22,Vestido Tubinho,25.0,190.0
2022-04-29,Shorts,63.0,
2022-12-31,Blusa de Alça,4.0,346.0
2022-09-24,Macacão,91.0,479.0
2022-06-25,Sapato de Salto,13.0,413.0
2022-04-08,Vestido,78.0,
2022-01-11,Blusa Ciganinha,36.0,156.0
2022-01-23,Meia,75.0,
2022-01-05,Blusa Cropped,76.0,
2022-10-23,Vestido Tomara que Caia,7.0,286.0
2022-03-01,Sapatênis,64.0,381.0
2022-09-15,Calça Jeans,19.0,456.0
2022-07-10,Shorts,,
2022-01-11,Camisa Jeans,68.0,144.0
2022-10-21,Blusa de Alça,,84.0
2022-04-15,Blusa Ciganinha,86.0,
2022-11-19,Boné,66.0,289.0
2022-01-12,Vestido Ciganinha,77.0,344.0
2022-03-27,Macacão Longo,,333.0
2022-12-30,Blusa de Renda,,189.0
2023-01-01,Botas,89.0,94.0
2022-03-09,Cinto,,467.0
2022-04-28,Cinto,95.0,263.0
2022-11-18,Camisa Polo,75.0,219.0
2022-08-21,Blusa de Tule,90.0,67.0
2022-03-13,Macacão Longo,,438.0
2022-03-04,Sapato Social,9.0,237.0
2022-02-09,Bolsa,,
2022-07-23,Relógio,,263.0
2022-06-14,Blusa Cropped,37.0,259.0
2022-04-20,Colete,,154.0
2022-03-07,Jaqueta,,
2022-05-17,Saia Jeans,,319.0
2022-09-12,Tênis,45.0,143.0
2022-02-08,Sapato Social,,331.0
2022-01-25,Blusa,16.0,284.0
2022-07-15,Camisa Social,69.0,343.0
2022-12-27,Short Saia,18.0,182.0
2022-04-21,Suéter,65.0,470.0
2022-06-15,Body,79.0,
2022-11-08,Calça,3.0,76.0
2022-11-29,Anel,26.0,
2022-01-14,Camiseta,8.0,160.0
2022-07-19,Sapato,59.0,111.0
2022-05-21,Blazer,94.0,377.0
2022-10-19,Chinelo,84.0,
2022-08-12,Vestido Transpassado,40.0,451.0
2022-12-08,Regata Cavada,63.0,52.0
2022-10-01,Blusa Ciganinha,50.0,137.0
